,"BatchID","Glucose concentration","Pyruvate concentration","Acetald concentration","Acetate concentration","Ethanol concentration","Active cell material","Acetaldehyde dehydrogenase","Specific oxygen uptake rate","Specific carbon dioxide evolution rate","Biomass"
"1#1",1,33.15768,0.0001602082,0.01351831,-0.001539215,-0.06243919,0.114315,0.008854595,1.528289,-0.1271373,-0.009564736
"1#2",1,33.87953,0.0003286003,-0.01068643,0.00101604,0.02876969,0.1090339,0.009526036,1.819725,0.8346959,0.06767128
"1#3",1,33.28683,5.390374E-05,0.01034296,-0.001909606,-0.04769963,0.120856,0.008068479,1.947026,0.5908096,-0.004445348
"1#4",1,32.89226,0.0007614781,-0.02184364,0.0001611902,0.1361159,0.1185789,0.009068419,1.852651,0.7535303,-0.003478578
"1#5",1,33.2731,0.0001349711,-0.008710469,-0.0004083123,-0.002792956,0.1220132,0.007571759,1.987177,0.9605367,0.12512
"1#6",1,34.20349,0.0005862762,-0.002150659,0.001401918,-0.07300157,0.1268488,0.00753212,1.992239,0.9928667,-0.04069711
"1#7",1,32.98672,0.0009938107,-0.005677788,0.0002013729,0.1023365,0.1353146,0.007953366,2.304723,1.280445,-0.1116635
"1#8",1,33.46602,0.0009736566,-0.01432306,0.002474659,0.02010023,0.1443241,0.008568195,2.531265,0.775678,0.02444548
"1#9",1,33.90245,0.001067262,-0.04341669,-0.0008674003,0.09163269,0.1574959,0.007772328,2.714153,0.8522475,-0.0009119971
"1#10",1,33.71611,0.001467215,-0.001075015,0.0008698063,-0.1249371,0.1731904,0.008065105,2.698632,1.73159,-0.09661581
"1#11",1,32.67994,0.0007950129,0.02439755,0.001005492,-0.01643248,0.1899364,0.006587123,2.995093,1.501616,-0.03565741
"1#12",1,33.1688,0.0007363698,0.02489668,-0.003664262,0.1616551,0.2094793,0.006712002,3.143558,1.581418,-0.009050485
"1#13",1,33.6379,0.0009713786,0.03040609,-0.002479327,-0.166938,0.2206036,0.007194675,3.720283,1.259712,-0.0338556
"1#14",1,34.08303,0.002559435,-0.01387539,0.000148588,0.02821371,0.2621363,0.007144319,4.303073,1.314869,-0.02821153
"1#15",1,33.43288,0.00421611,0.02162263,0.0001216319,-0.04980187,0.3025627,0.006846236,4.996962,1.924282,-0.0661436
"1#16",1,33.02522,0.004391234,0.006470522,0.0001136641,-0.06616163,0.3369537,0.005587315,5.516279,1.62936,-0.02450351
"1#17",1,34.25664,0.00716844,0.006822117,-0.001157981,0.05419554,0.3785983,0.006242592,6.170293,2.931972,-0.0551385
"1#18",1,33.49936,0.009170325,0.03973468,-9.058258E-05,0.07173132,0.404239,0.006152157,6.606037,3.758867,0.02961282
"1#19",1,33.00358,0.01015751,-0.007071829,-0.0005645154,0.1569801,0.4155917,0.006291022,6.887167,3.634568,0.004104396
"1#20",1,33.88073,0.01245582,-0.007884996,0.000403054,-0.1481908,0.4337723,0.005312895,7.211181,4.819635,0.0688531
"1#21",1,33.35655,0.01441377,-0.02539578,-0.0004008162,0.1021282,0.451221,0.004012045,7.380723,5.421769,-0.05678402
"1#22",1,34.29546,0.01596709,0.01668837,3.487459E-05,0.1124978,0.4610668,0.00509072,7.504298,7.029609,-0.009561577
"1#23",1,33.18293,0.01799268,-0.07154213,-0.00151566,-0.002347277,0.472619,0.004878348,7.686406,8.946277,0.03978275
"1#24",1,33.79187,0.01926454,-0.02400989,0.0009871022,-0.1883153,0.4840108,0.005152736,7.484858,10.40987,-0.03675173
"1#25",1,33.71845,0.02020407,0.02934666,0.000609662,-0.01252351,0.4821506,0.004397703,7.473168,11.85848,-0.05722319
"1#26",1,33.79879,0.02127101,-0.02226833,0.002103786,-0.03319428,0.4922238,0.004771278,7.07408,13.25816,0.1307572
"1#27",1,33.33347,0.02309566,0.02048099,0.002114627,-0.03453118,0.5002069,0.004178687,7.020262,13.51488,0.1347803
"1#28",1,32.95274,0.02256063,0.01811024,0.003255532,-0.118356,0.5079659,0.004806574,6.742774,14.44301,-0.1092604
"1#29",1,33.26048,0.02273998,0.01149718,-0.000997346,0.1314325,0.5087425,0.005140755,6.433898,16.17898,-0.003734427
"1#30",1,34.24261,0.02360018,0.004982834,-0.0003904725,0.02830281,0.516681,0.005159173,6.29204,16.59229,0.03198633
"1#31",1,33.19357,0.02430924,0.02469859,0.002292131,0.05336265,0.5152164,0.00429776,5.859925,16.3432,0.0312288
"1#32",1,33.31702,0.02440616,0.0354885,0.0008439646,-0.003093643,0.5191503,0.004242126,5.641202,17.41148,0.1070656
"1#33",1,33.86417,0.02448284,0.0258188,0.0008594466,0.03589811,0.530193,0.004533091,5.700072,18.0137,0.00867881
"1#34",1,33.263,0.02487943,0.01082941,0.003103552,0.4121286,0.5317461,0.004831911,5.234565,18.52775,0.0365842
"1#35",1,33.8426,0.02546983,0.005447839,0.002274117,0.008909326,0.5323735,0.0041538,5.117662,18.6959,0.1310668
"1#36",1,33.7029,0.02636167,-0.03980895,0.005058845,-0.1435938,0.5364522,0.00556548,4.687383,20.20438,0.09685985
"1#37",1,32.55589,0.02658402,0.04765914,0.003326762,0.07130441,0.5376705,0.004445374,4.853853,22.00558,0.003831609
"1#38",1,33.13577,0.02706093,0.03564012,0.002763221,0.07777854,0.5389448,0.003899484,4.996042,22.61793,0.1120992
"1#39",1,33.13803,0.0277003,0.04285808,0.006186168,0.1294339,0.5396076,0.003910548,4.957939,23.9251,0.1112599
"1#40",1,32.26242,0.02849426,0.04325088,0.006248669,0.2960717,0.5456454,0.004743919,5.343714,24.62902,0.2809815
"1#41",1,31.88941,0.03018551,0.07017879,0.01019315,0.4746187,0.546796,0.003928156,5.326464,25.85589,0.2531566
"1#42",1,31.06028,0.03079965,0.1281739,0.01198981,0.5367827,0.5492206,0.004581865,5.435954,26.45244,0.2767193
"1#43",1,31.64862,0.03040458,0.09690579,0.01165502,0.5940852,0.5446962,0.004119533,5.536388,26.91158,0.3511134
"1#44",1,31.16473,0.03147249,0.09774081,0.01216688,0.4654156,0.544157,0.004346698,5.513824,27.81133,0.3615448
"1#45",1,31.62724,0.03155185,0.09314646,0.01078507,0.7284681,0.5427806,0.004613258,5.315881,27.52384,0.4954548
"1#46",1,30.9116,0.03197252,0.1218542,0.01318831,0.8319094,0.546321,0.004651592,5.587372,28.83267,0.4108197
"1#47",1,31.42411,0.03291997,0.1777147,0.01311521,0.6724895,0.5454341,0.003086241,5.841025,28.79987,0.4208196
"1#48",1,29.77409,0.03392919,0.2091175,0.01645159,1.163612,0.5433182,0.003670923,6.052837,29.73717,0.7297603
"1#49",1,29.49098,0.03537276,0.2454965,0.02148157,1.344474,0.5446371,0.004739904,5.997581,31.30856,0.8161047
"1#50",1,26.44419,0.03666871,0.3224711,0.02585649,1.877601,0.5432578,0.003214259,6.450511,32.52977,1.036462
"1#51",1,25.5442,0.0367942,0.4990314,0.03174794,2.594647,0.5444779,0.003945653,6.627508,32.19192,1.181155
"1#52",1,23.9037,0.03888035,0.5539889,0.03831281,3.067044,0.5366682,0.004480846,6.858662,33.63315,1.551957
"1#53",1,19.91938,0.03860429,0.8356234,0.05273262,4.738396,0.543385,0.00447646,7.211239,34.34017,2.034949
"1#54",1,14.79641,0.0387807,1.168136,0.07013425,6.199401,0.5471175,0.004871919,7.888515,35.24342,2.882999
"1#55",1,12.62087,0.03908351,1.282434,0.0766134,6.71339,0.5443109,0.003649212,7.975609,35.12749,3.195112
"1#56",1,10.79413,0.03724579,1.365627,0.0821805,7.536609,0.5435798,0.004514815,8.358958,35.64661,3.458009
